,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
62655,62656,I code primarily as a hobby,Employed full-time,Indonesia,,,Some college/university study without earning a degree,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",1,,Marketing or sales professional,,,,,,,,,,,,,,,Puppet;Unreal Engine,Flow;Unity 3D,,,Other (please specify):,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate,I have never visited Stack Overflow or the Stack Exchange network,,,,,No,25-34 years old,"Or, in your own words:",No,Straight / Heterosexual,"Or, in your own words:",None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
62787,62788,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Colleague;Books / Physical media",4,2,"Developer, back-end",20 to 99 employees,IDR	Indonesian rupiah,,Yearly,HTML/CSS;LISP;Python;Rust,HTML/CSS;Python;Rust,MariaDB;PostgreSQL,PostgreSQL,,,,,,,Ansible;Docker;Git,Ansible;Docker;Git,Android Studio;Eclipse;Emacs;NetBeans,Emacs,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
62963,62964,I code primarily as a hobby,"Student, full-time",Indonesia,,,Primary/elementary school,18 - 24 years,School,Less than 1 year,,,,,,,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,,Microsoft SQL Server;MySQL;SQLite,,Google Cloud Platform,,ASP.NET;jQuery;Laravel,,.NET Framework,,Unity 3D,,Android Studio;Eclipse;IPython/Jupyter;NetBeans;Notepad++;Visual Studio,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Meditate;Play games,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Not sure,No,18-24 years old,"Man;Woman;Non-binary, genderqueer, or gender non-conforming",No,Prefer not to say,East Asian,I am unable to / find it difficult to type,Prefer not to say,Too short,Easy,
63015,63016,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",6,5,"Developer, full-stack",10 to 19 employees,PLN	Polish zloty,17000.0,Monthly,C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,,,ASP.NET;React.js,ASP.NET;React.js,.NET Framework;.NET Core / .NET 5;Flutter,.NET Framework;.NET Core / .NET 5,Git,Git,Rider;Sublime Text;Visual Studio;Visual Studio Code;Webstorm,Rider;Sublime Text;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,51636.0
63025,63026,I am a developer by profession,Employed full-time,Indonesia,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",18,10,"Developer, mobile;Developer, full-stack;Developer, back-end;Database administrator;System administrator;Product manager",20 to 99 employees,IDR	Indonesian rupiah,8500000.0,Monthly,HTML/CSS;JavaScript;Kotlin;PHP;SQL,Dart;Swift,MySQL;SQLite,PostgreSQL,DigitalOcean;Google Cloud Platform,AWS,jQuery;Laravel;Vue.js,,,,Ansible;Docker;Git;Yarn,Docker;Kubernetes,Android Studio;IntelliJ;PHPStorm;Visual Studio Code,,Linux-based,Google it;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,7464.0
63280,63281,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Coding Bootcamp;School;Books / Physical media,25,13,"Developer, desktop or enterprise applications;Developer, back-end","10,000 or more employees",IDR	Indonesian rupiah,550322467.0,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;SQL,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;SQL,Oracle,Elasticsearch;Oracle,,,,,,,Git,Git,IntelliJ;Notepad++;Visual Studio Code,IntelliJ;Notepad++;Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian;East Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Easy,40274.0
63635,63636,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Books / Physical media",9,3,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Student;Engineer, site reliability;System administrator",2 to 9 employees,IDR	Indonesian rupiah,,,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;LISP;Node.js;PHP;PowerShell;Python;SQL,Bash/Shell;Elixir;Go;HTML/CSS;JavaScript;Kotlin;Node.js;Python;Rust;Scala;Swift;TypeScript,Couchbase;Elasticsearch;MongoDB;MySQL;SQLite,Couchbase;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Google Cloud Platform;Heroku,Heroku,Django;Express;FastAPI;Flask;Gatsby;jQuery;React.js;Ruby on Rails,Django;Drupal;Express;FastAPI;Flask;Gatsby;jQuery;Vue.js,.NET Framework;.NET Core / .NET 5;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;React Native;Torch/PyTorch,Docker;Git;Unity 3D;Yarn,Deno;Docker;Git;Unity 3D;Unreal Engine;Yarn,Android Studio;Emacs;IPython/Jupyter;Neovim;Notepad++;Vim;Visual Studio;Visual Studio Code,Atom;Eclipse;Emacs;IPython/Jupyter;Neovim;Notepad++;Vim;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,Under 18 years old,Man,No,Prefer not to say,Southeast Asian,I am blind / have difficulty seeing,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,
63658,63659,I code primarily as a hobby,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,Friend or family member,Less than 1 year,,,,,,,HTML/CSS;Python;SQL,JavaScript,MySQL;SQLite,MongoDB,,,Flask,Django,,,,,Sublime Text;Visual Studio Code,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"No, not at all",Yes,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
63691,63692,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",11,8,"Developer, full-stack;Data or business analyst;System administrator;Senior Executive (C-Suite, VP, etc.);Marketing or sales professional",2 to 9 employees,IDR	Indonesian rupiah,30000000.0,Monthly,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,MariaDB;Redis;SQLite,MariaDB;Redis;SQLite,DigitalOcean,DigitalOcean,jQuery;Vue.js,jQuery;Vue.js,,,Docker;Git,Docker;Git,Atom,Atom;Xcode,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,26340.0
63792,63793,I am a developer by profession,"Not employed, but looking for work",Indonesia,,,Some college/university study without earning a degree,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Books / Physical media",5,,"Developer, full-stack;Developer, back-end",,,,,Elixir;Go;HTML/CSS;JavaScript;PHP,Elixir;Go;Kotlin;Node.js;Python;TypeScript,MariaDB;MySQL;PostgreSQL,Firebase;MongoDB;PostgreSQL;Redis,DigitalOcean,AWS;Heroku,jQuery;Laravel,Express;Gatsby;React.js;Svelte,,,Git;Yarn,Docker;Git;Kubernetes,Neovim;Vim;Visual Studio Code,Android Studio;Neovim;Vim;Visual Studio Code;Xcode,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Other (please specify):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,Prefer not to say,Too short,Easy,
64279,64280,None of these,Employed full-time,Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,Other (please specify):,Less than 1 year,Less than 1 year,Other (please specify):,,,,,APL;HTML/CSS;JavaScript;TypeScript,APL;HTML/CSS;JavaScript;TypeScript,MySQL;SQLite,,,,,,,,,,,,MacOS,Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Meditate,I have never visited Stack Overflow or the Stack Exchange network,,,,,No,18-24 years old,Man,No,Prefer not to say,Southeast Asian;East Asian,None of the above,None of the above,Too long,Neither easy nor difficult,
64285,64286,I am a developer by profession,Employed full-time,Indonesia,,,Some college/university study without earning a degree,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",15,3,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end",10 to 19 employees,IDR	Indonesian rupiah,,Monthly,JavaScript;Node.js;TypeScript,Go;JavaScript;Node.js;TypeScript,MongoDB;MySQL,MongoDB;MySQL,Heroku,AWS;Heroku,Express;React.js,Express;React.js,React Native,React Native,Git,Git,Notepad++;Sublime Text,Sublime Text;Visual Studio Code,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Meditate;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,,Yes,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
64289,64290,I am a developer by profession,Employed full-time,Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media",16,6,"Developer, full-stack;Data scientist or machine learning specialist;Academic researcher",20 to 99 employees,IDR	Indonesian rupiah,,,Dart;JavaScript;PHP;Python;SQL,Dart;Go;JavaScript;PHP;Python;SQL,MariaDB;MySQL;PostgreSQL;Redis;SQLite,Cassandra;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,DigitalOcean;Google Cloud Platform;Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure,Django;Flask;Laravel;Vue.js,Django;Flask;jQuery;Laravel;Vue.js,Apache Spark;Flutter;Hadoop;Keras;NumPy;Pandas;TensorFlow,Apache Spark;Flutter;Hadoop;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Git;Kubernetes,Git;Kubernetes,Android Studio;PHPStorm;PyCharm;RStudio;Webstorm,Android Studio;PHPStorm;PyCharm;RStudio;Webstorm,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Yes,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Easy,
64341,64342,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",11,5,"Developer, full-stack;Developer, back-end;DevOps specialist",20 to 99 employees,IDR	Indonesian rupiah,15000000.0,Monthly,Java;JavaScript;PHP;Ruby;SQL,Elixir,MariaDB;MySQL;PostgreSQL;Redis;SQLite,,AWS;DigitalOcean;Google Cloud Platform;Heroku,,Laravel;React.js;Ruby on Rails,,,,Docker;Git;Kubernetes;Terraform;Yarn,Deno,Android Studio;Sublime Text;Visual Studio Code,,Windows Subsystem for Linux (WSL),Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,25-34 years old,Man,No,Bisexual,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,13176.0
64350,64351,I code primarily as a hobby,"Student, full-time",Indonesia,,,Primary/elementary school,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Books / Physical media",1,,,,,,,C;C++;Python,Go;Python,,,,,,,.NET Framework;.NET Core / .NET 5,NumPy;Qt;Torch/PyTorch,Git;Unity 3D,Git,Android Studio;Atom;Sublime Text;Vim;Visual Studio;Visual Studio Code,PyCharm;Sublime Text,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,No,Under 18 years old,Man,No,,White or of European descent;Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
64355,64356,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School;Online Courses or Certification;Colleague,7,4,"Developer, front-end;Developer, full-stack",100 to 499 employees,IDR	Indonesian rupiah,,Monthly,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Node.js,Firebase;MySQL;PostgreSQL,,AWS;Microsoft Azure,,Angular;Angular.js;Laravel;React.js,,Cordova,,Git,,NetBeans;Sublime Text;Visual Studio Code,,Windows Subsystem for Linux (WSL),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Play games,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,I am unable to / find it difficult to type,None of the above,Appropriate in length,Easy,
64368,64369,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague;Books / Physical media",15,11,"Developer, full-stack",20 to 99 employees,IDR	Indonesian rupiah,,,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,MySQL,MySQL,AWS;Google Cloud Platform,AWS;Google Cloud Platform,Express;Flask;jQuery;Laravel;React.js;Vue.js,Express;Flask;jQuery;Laravel;React.js;Vue.js,,,Git,Git,Notepad++;Sublime Text,Notepad++;Sublime Text,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,,,25-34 years old,Man,No,Straight / Heterosexual,South Asian,,,,,
64409,64410,I am a developer by profession,Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Other (please specify):;Books / Physical media",7,3,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, game or graphics;Developer, embedded applications or devices;Data or business analyst;Designer;System administrator;Educator",2 to 9 employees,IDR	Indonesian rupiah,2500000.0,Monthly,C#;HTML/CSS;Java;JavaScript;PHP;SQL,C#;HTML/CSS;Java;JavaScript;PHP;SQL,MariaDB;MySQL,MariaDB;MySQL,Google Cloud Platform,Google Cloud Platform,jQuery,jQuery,Flutter;React Native,Flutter;React Native,Unity 3D,Unity 3D,Android Studio;Sublime Text;Visual Studio,Android Studio;Sublime Text;Visual Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic,Stack Overflow,A few times per week,Yes,A few times per month or weekly,"No, not really",No,18-24 years old,Man,No,Prefer to self-describe:,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Easy,2196.0
64436,64437,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",4,,,,,,,C++;HTML/CSS;JavaScript;Python,C++;Dart;HTML/CSS;JavaScript;Node.js;Python;TypeScript,MySQL;PostgreSQL,MySQL;PostgreSQL,AWS;Heroku,AWS;Heroku,Django;React.js,Django;React.js,,,Git,Docker;Git;Kubernetes,Visual Studio Code,Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Multiple times per day,No,,"No, not really",No,18-24 years old,Man,No,Bisexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
64460,64461,I code primarily as a hobby,"Student, part-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",1,,,,,,,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Node.js;Rust;SQL,Firebase;MariaDB;MongoDB;PostgreSQL;SQLite,PostgreSQL;SQLite,Google Cloud Platform;Heroku,Google Cloud Platform;Heroku;Microsoft Azure,Express;Flask;React.js;Svelte;Vue.js,Express;FastAPI;React.js;Svelte,Flutter,Qt;React Native,Deno;Git,Deno;Git,Neovim,Neovim,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,Under 18 years old,Man,No,,South Asian,None of the above,,Too long,Easy,
64758,64759,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",6,1,"Developer, back-end",10 to 19 employees,IDR	Indonesian rupiah,,Monthly,Python,HTML/CSS;JavaScript;Python,MySQL,SQLite,Google Cloud Platform,,,,NumPy;Pandas,,Git,Git,IPython/Jupyter;Visual Studio Code,Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow,A few times per week,No,,"No, not at all",Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent;Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
64855,64856,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Friend or family member,7,3,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,IDR	Indonesian rupiah,14000000.0,Monthly,Bash/Shell;HTML/CSS;Java;JavaScript;SQL,Bash/Shell;C++;Dart;Go;HTML/CSS;Java;JavaScript;Python;SQL,MariaDB;MySQL;Oracle;PostgreSQL,Elasticsearch;Firebase;MariaDB;MySQL;Oracle;PostgreSQL;Redis,,,Angular.js;jQuery;Spring,jQuery;React.js;Spring,,,Git,Ansible;Docker;Git;Kubernetes,Eclipse;NetBeans;Notepad++;Vim;Visual Studio Code,Eclipse;IntelliJ;Notepad++;Vim;Visual Studio Code;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,12300.0
65059,65060,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",5,2,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Academic researcher;Data or business analyst;Designer","10,000 or more employees",IDR	Indonesian rupiah,10000000.0,Monthly,JavaScript;Kotlin;Node.js;Python;R;TypeScript,Java;Kotlin;Python,Firebase;MongoDB;MySQL,MongoDB;PostgreSQL;Redis,Google Cloud Platform,AWS;Google Cloud Platform,Express;React.js,React.js;Spring,NumPy;Pandas;React Native,NumPy;Pandas,Docker;Git,Docker;Git;Kubernetes,IntelliJ;Visual Studio Code;Webstorm,IntelliJ;Visual Studio Code;Webstorm,MacOS,Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate,Stack Overflow,A few times per week,Not sure/can't remember,,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,8784.0
65085,65086,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",7,3,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end",2 to 9 employees,IDR	Indonesian rupiah,,Monthly,Dart;HTML/CSS;JavaScript;PHP,C#;Dart;Python;TypeScript,Firebase;MySQL;SQLite,Firebase;MariaDB;MySQL;SQLite,,,jQuery;Laravel;Vue.js,,Flutter;NumPy,TensorFlow,Git;Unity 3D,Git;Unity 3D,Android Studio;Visual Studio;Visual Studio Code,Android Studio,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,East Asian,,,,,
65182,65183,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,Some college/university study without earning a degree,5 - 10 years,School;Friend or family member;Books / Physical media,17,6,Database administrator;System administrator;Product manager;Marketing or sales professional,2 to 9 employees,USD	United States dollar,,Monthly,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL,Node.js;Python,MariaDB;MySQL,MongoDB;Oracle;PostgreSQL;Redis,AWS,Google Cloud Platform;Microsoft Azure,,,,,,,Notepad++;Sublime Text,Android Studio;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,A few times per month or weekly,No,,"No, not at all",No,25-34 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Appropriate in length,Easy,
65231,65232,I am a developer by profession,Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,Colleague,4,Less than 1 year,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Student;Data or business analyst;Senior Executive (C-Suite, VP, etc.)",500 to 999 employees,USD	United States dollar,120.0,Monthly,C++;HTML/CSS;Kotlin;PHP,HTML/CSS;Kotlin;Node.js;PHP;SQL;TypeScript,MariaDB;MySQL,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Heroku,AWS;DigitalOcean;Google Cloud Platform,Laravel,Angular;Angular.js;Express;Laravel;React.js;Svelte;Vue.js,,,Docker;Git,Docker;Git;Kubernetes,Android Studio;Vim;Visual Studio;Visual Studio Code,Android Studio;Vim;Visual Studio Code,Windows,Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,Prefer not to say,Prefer not to say,Too long,Neither easy nor difficult,1440.0
65302,65303,I am a developer by profession,Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",9,2,"Developer, back-end;Developer, QA or test;DevOps specialist",100 to 499 employees,IDR	Indonesian rupiah,5100000.0,Monthly,C#;Groovy;Java;JavaScript;Node.js;SQL;TypeScript,Go;Rust;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis,Elasticsearch;MongoDB;Redis,,,ASP.NET;Express;Gatsby;React.js;Vue.js,,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Docker;Git;Yarn,Docker;Git;Yarn,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,Prefer not to say,Bisexual,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Neither easy nor difficult,4476.0
