,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
3489,3490,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions,Udemy;Coursera,7,5,"Developer, back-end",20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,175000000.0,Java;JavaScript;PHP;SQL,Java;JavaScript;PHP;SQL,MySQL;PostgreSQL;SQLite,MySQL,Cloudflare;Digital Ocean;Google Cloud,Digital Ocean,jQuery;Laravel;Spring Boot,jQuery;Laravel;Spring Boot,,,Ant;Gradle;npm;Webpack;Yarn,Ant;Gradle,DataGrip;IntelliJ IDEA;Visual Studio Code,DataGrip;IntelliJ IDEA;Visual Studio Code,Android;iOS;MacOS;Windows,MacOS,Azure Devops;Jira,Jira,Discord;Google Meet;Slack;Zoom,Google Meet;Slack,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat","I don't see any problem using Stack Overflow until now, so far so good","No, but I plan to soon",Indifferent,,Somewhat trust,,,,,,,,,Yes,Individual contributor,6.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Appropriate in length,Neither easy nor difficult,11783.0
4089,4090,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos,Udemy,3,3,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have little or no influence,,Start a free trial;Ask developers I know/work with,Indonesia,USD	United States dollar,20000.0,HTML/CSS;JavaScript;PHP;TypeScript,Go;HTML/CSS;JavaScript;PHP;TypeScript,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL,Cloudflare;Digital Ocean;Vercel,Cloudflare;Digital Ocean;Vercel,Express;Next.js;Node.js;React,Express;Next.js;Node.js;React,,,Docker;npm;Vite;Yarn,Docker;npm;Vite;Yarn,Visual Studio,Visual Studio,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),,,Slack,Slack,ChatGPT,ChatGPT,,,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",,"No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,20000.0
4117,4118,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Colleague;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Programming Games",,7,5,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,I have a great deal of influence,Other,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,Indonesia,IDR	Indonesian rupiah,100000000.0,HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,Go;Rust,Cockroachdb;MariaDB;MongoDB;MySQL;SQLite;Supabase,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Firebase;Vercel,,CodeIgniter;Express;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React;Solid.js;Svelte;Vue.js;WordPress,Qwik,,,Cargo;Chocolatey;Composer;Docker;Make;Nix;npm;Pip;pnpm;Vite;Webpack;Yarn,Cargo;Chef;Kubernetes;Terraform,Atom;Nano;Notepad++;PhpStorm;PyCharm;Sublime Text;Visual Studio;Visual Studio Code;VSCodium,Goland;IntelliJ IDEA;Neovim;Xcode,Cygwin;Windows,Other Linux-based;Windows Subsystem for Linux (WSL),Jira;Miro;Monday.com;Notion,,Discord;Google Chat;Google Meet;Skype;Slack;Telegram;Whatsapp;Zoom,,ChatGPT,Bing AI;ChatGPT,GitHub Copilot;Tabnine,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat","maybe it could help us to answer question which doesn't have much attention from the dev or community, I often lost in stack overflow questions without answer or marked as answer.",Yes,Very favorable,Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration,Somewhat trust,Project planning;Committing and reviewing code;Deployment and monitoring,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Collaborating with teammates ,,,,,,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Collaborating with teammates ,Yes,People manager,5.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,Over 120 minutes a day,30-60 minutes a day,Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Appropriate in length,Neither easy nor difficult,6733.0
4986,4987,I agree,I am a developer by profession,Under 18 years old,"Employed, full-time;Student, part-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,Primary/elementary school,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Other (please specify):",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,,2,,"Developer, full-stack",,,,,Indonesia,,,HTML/CSS;JavaScript;PHP;TypeScript,Assembly;C;Go;HTML/CSS;PHP;Rust;TypeScript;Zig,MySQL,Supabase,Managed Hosting,Cloudflare;Digital Ocean;Managed Hosting,Deno;Laravel;Next.js;Node.js;React;Solid.js;Svelte,Deno;Laravel,Qt;Tauri,Flutter;TensorFlow;Torch/PyTorch,Cargo;Composer;Make;npm;pnpm;Vite;Webpack;Yarn,Cargo;Composer;Docker;Kubernetes;pnpm;Vite,Micro;Nano;Neovim;Vim;Visual Studio Code,Visual Studio Code,Ubuntu,,,,Discord;Slack;Whatsapp,Discord,ChatGPT,ChatGPT,GitHub Copilot;Tabnine,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,,Neutral,,Yes,Favorable,Other (please explain);Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring,Writing code;Debugging and getting help,Project planning;Collaborating with teammates ,Debugging and getting help,,Writing code,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
5443,5444,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Friend or family member;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos",Udemy,11,5,"Developer, back-end",100 to 499 employees,I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,200000000.0,Go;JavaScript;PHP;Python;TypeScript,Go;PHP;Python;Rust;TypeScript,Cockroachdb;Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;Redis;SQLite,Cockroachdb;Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Managed Hosting;Oracle Cloud Infrastructure (OCI);Vultr,Amazon Web Services (AWS);Cloudflare;Google Cloud;Managed Hosting;Oracle Cloud Infrastructure (OCI);Vultr,Drupal;Gatsby;jQuery;Laravel;Node.js;Vue.js,jQuery;Laravel;Node.js;Vue.js,Cordova;Electron;Ionic;Pandas,Capacitor;Electron;Ionic;Pandas;Tauri,APT;Docker;Make;Pip;Vite;Yarn,APT;Cargo;Docker;Gradle;Make;Pip;Vite;Yarn,Fleet;IntelliJ IDEA;Nano;PhpStorm;PyCharm;Visual Studio Code,Android Studio;IntelliJ IDEA;Nano;PhpStorm;PyCharm;Xcode,Android;MacOS;Ubuntu,MacOS;Ubuntu,Confluence;GitHub Discussions;Jira;Trello,Confluence;GitHub Discussions;Jira;Trello,Google Chat;Google Meet;Whatsapp;Zoom,Google Chat;Google Meet;Whatsapp,ChatGPT,ChatGPT;Google Bard AI,GitHub Copilot;Tabnine,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely","I like the AI, so I believe Stack Overflow will improve the current experience. There are a lot of questions is not answered, but actually can answered easily using AI or atleast give a clue.",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration,Neither trust nor distrust,Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring,Learning about a codebase;Writing code;Debugging and getting help;Collaborating with teammates ,,,Collaborating with teammates ,Learning about a codebase;Writing code;Debugging and getting help,,,Yes,Individual contributor,6.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,,Too long,Neither easy nor difficult,13467.0
6084,6085,I agree,I code primarily as a hobby,18-24 years old,"Student, full-time",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,,12,,,,,Investigate,Start a free trial;Visit developer communities like Stack Overflow,Indonesia,,,Bash/Shell (all shells);C#;Dart;Go;Java;JavaScript;Kotlin;PHP;PowerShell;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;Dart;Go;Kotlin;PowerShell;Rust;TypeScript,Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;MySQL;Supabase,Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;Supabase,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Heroku;Linode, now Akamai;Netlify;Vercel;Vultr","Amazon Web Services (AWS);Cloudflare;Firebase;Linode, now Akamai;Netlify;Vercel",Deno;Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js,.NET (5+) ;Cordova;Electron;Flutter;Ionic;React Native,.NET (5+) ;Flutter;React Native;SwiftUI;Tauri;TensorFlow;Torch/PyTorch,APT;Bun;Chocolatey;Docker;Gradle;npm;NuGet;Pacman;pnpm;Unity 3D;Visual Studio Solution;Vite;Webpack;Yarn,APT;Bun;Chocolatey;Docker;Gradle;npm;NuGet;Pacman;pnpm;Unity 3D;Unreal Engine;Visual Studio Solution;Vite,Android Studio;IntelliJ IDEA;Neovim;Notepad++;Visual Studio;Visual Studio Code;VSCodium,Android Studio;IntelliJ IDEA;Neovim;Notepad++;Visual Studio;Visual Studio Code,Android;Fedora;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;Fedora;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Notion;Trello,GitHub Discussions;Notion,Discord;Microsoft Teams;Telegram;Whatsapp,Discord;Microsoft Teams;Whatsapp,Bing AI;ChatGPT,Bing AI;ChatGPT;Google Bard AI,,,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,afraid of StackOverflow what actually become.,"No, but I plan to soon",Indifferent,,Neither trust nor distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
6781,6782,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",In-person,Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;Colleague;Friend or family member;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial",Udemy;Coursera;Udacity,22,15,Academic researcher,"1,000 to 4,999 employees",I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,IDR	Indonesian rupiah,,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;PowerShell;R;SQL;Swift,C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;PowerShell;R;SQL;Swift,Firebase Realtime Database;MariaDB;MongoDB;MySQL;Redis;SQLite,Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Firebase,Firebase,AngularJS;CodeIgniter;Express;jQuery;Laravel;Node.js;Nuxt.js,AngularJS;CodeIgniter;Express;jQuery;Laravel;Node.js;Nuxt.js,Electron;SwiftUI,Electron;SwiftUI;TensorFlow,Gradle;Unity 3D;Unreal Engine,Gradle;Unity 3D;Unreal Engine,Android Studio;Atom;DataGrip;RStudio;Visual Studio;Visual Studio Code;Xcode,Android Studio;Atom;DataGrip;RStudio;Visual Studio;Visual Studio Code;Xcode,Android;iOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;iOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),,,Discord;Google Chat;Google Meet;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,Discord;Google Chat;Google Meet;Slack;Whatsapp;Zoom,ChatGPT,ChatGPT,Tabnine,GitHub Copilot;Tabnine,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",,Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code,Learning about a codebase;Project planning,,,Writing code,,,Yes,Individual contributor,20.0,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,30-60 minutes a day,Microservices;Developer portal or other central places to find tools/services,Higher Education,Appropriate in length,Easy,
6995,6996,I agree,I code primarily as a hobby,Under 18 years old,"Student, full-time",,,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,,3,,,,,Other,Visit developer communities like Stack Overflow;Other (please specify):,Indonesia,,,C++;Python;Rust;SQL,Python;Rust;SQL,PostgreSQL,PostgreSQL;Redis,Heroku,Amazon Web Services (AWS);Netlify,,,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Hadoop;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Cargo;CMake;Godot;Gradle;LLVM's Clang;Make;Pip,Cargo;Docker;Godot;Gradle;Kubernetes;Pip,Android Studio;IPython;Jupyter Notebook/JupyterLab;Neovim;Notepad++;Vim;Visual Studio Code,Android Studio;IPython;Jupyter Notebook/JupyterLab;Neovim,Android;Ubuntu,Android;Ubuntu,,,Discord;Google Meet;Whatsapp,Discord;Google Meet;Whatsapp,Phind,Phind,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,
7093,7094,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written-based Online Courses;Written Tutorials;Stack Overflow,edX,15,14,"Developer, back-end",20 to 99 employees,I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,,HTML/CSS;JavaScript;Perl;PHP;SQL,C;HTML/CSS;Java;JavaScript;Perl;PHP;R;Ruby;Rust;Scala;SQL,MySQL;Oracle,MySQL;PostgreSQL,Managed Hosting;VMware,Managed Hosting;VMware,CodeIgniter;Symfony,Ruby on Rails;Symfony,RabbitMQ;Spring Framework,RabbitMQ;Spring Framework,Composer;Docker;npm;Pip,Composer;Docker;npm;Pip,Eclipse;IntelliJ IDEA;RStudio;Visual Studio Code,Android Studio;Eclipse;IntelliJ IDEA;RStudio;Visual Studio Code,Ubuntu,Ubuntu,Trello,Trello,Google Meet;Microsoft Teams;Signal;Skype;Zulip,Google Meet;Microsoft Teams;Signal;Skype;Zulip,Bing AI;Google Bard AI,Bing AI;Google Bard AI,GitHub Copilot,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",Not Sure,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,15.0,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,DevOps function;Innersource initiative,Higher Education,Appropriate in length,Neither easy nor difficult,
7301,7302,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects,Some college/university study without earning a degree,"On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial",,6,5,"Developer, back-end",2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Other (please specify):,Indonesia,IDR	Indonesian rupiah,585000000.0,Bash/Shell (all shells);Go;Rust;SQL,Rust;SQL,PostgreSQL;Redis,PostgreSQL;Redis,Cloudflare;Digital Ocean;Google Cloud,Cloudflare,,,,,Ansible;Cargo;Kubernetes,Cargo;Kubernetes,Visual Studio Code,Helix;Visual Studio Code,Ubuntu,Ubuntu,Trello,,Discord;Whatsapp,Discord,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all","It's fine. AI could be used as a sentiment analysis, where offensive/bad/out-of-topic comments can be marked automatically","No, but I plan to soon",Unsure,,Somewhat distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,39390.0
7782,7783,I agree,I code primarily as a hobby,18-24 years old,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow,,2,,,,,Given a list,Visit developer communities like Stack Overflow;Ask a generative AI tool,Indonesia,,,Go;Java;JavaScript;TypeScript,Java;TypeScript,MySQL;PostgreSQL;Supabase,Elasticsearch;MySQL;PostgreSQL,,,React;Spring Boot,Angular;Next.js;React;Spring Boot,Spring Framework,Apache Kafka;Quarkus;Spring Framework,Docker;Kubernetes;Maven (build tool);npm;Terraform,Docker;Kubernetes;Maven (build tool);npm;Terraform,Eclipse;IntelliJ IDEA;Visual Studio Code,Eclipse;IntelliJ IDEA;Visual Studio Code,Fedora;Windows,Windows,Trello,Jira;Trello,Discord;Google Meet;Whatsapp;Zoom,Discord;Google Meet;Whatsapp;Zoom,ChatGPT,ChatGPT,,,Stack Overflow,Daily or almost daily,No,,"Yes, somewhat",,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Documenting code;Testing code;Deployment and monitoring,Learning about a codebase;Writing code;Debugging and getting help;Committing and reviewing code,Project planning;Collaborating with teammates ,,Learning about a codebase;Committing and reviewing code,,,Writing code;Debugging and getting help,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
7835,7836,I agree,I am learning to code,18-24 years old,"Independent contractor, freelancer, or self-employed;Student, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;School or academic work,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,,2,,Student,,,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,Indonesia,,,Bash/Shell (all shells);C;C++;Groovy;Java;JavaScript;Kotlin;PHP;Rust,C;JavaScript;Kotlin;PowerShell;Python;Zig,Cloud Firestore;Firebase Realtime Database;MariaDB;MySQL;PostgreSQL,Cloud Firestore;Dynamodb;Firebase Realtime Database;PostgreSQL,Firebase;IBM Cloud Or Watson;Microsoft Azure,Digital Ocean;Firebase,Blazor;CodeIgniter;Deno;Node.js;React;WordPress,Deno;Lit;Node.js;Qwik;Vue.js,.NET (5+) ;Pandas,Hugging Face Transformers;Keras;Opencv;Pandas;Tauri;TensorFlow;Torch/PyTorch,Ant;Cargo;Composer;Gradle;Make;Ninja;npm;NuGet;Pacman;Pip;Visual Studio Solution,Bun;CMake;Dagger;Godot;Gradle;LLVM's Clang;MSBuild;MSVC;Ninja;npm;Pip;Visual Studio Solution;Wasmer,Android Studio;CLion;Fleet;IntelliJ IDEA;Neovim;Rider;Vim;Visual Studio;Visual Studio Code;VSCodium,Android Studio;CLion;IntelliJ IDEA;Neovim;Visual Studio Code,Android;Cygwin;Other Linux-based;Windows;Windows Subsystem for Linux (WSL);Other (Please Specify):,Android;Windows;Windows Subsystem for Linux (WSL),GitHub Discussions;YouTrack,GitHub Discussions,Discord;Google Meet;Matrix;Signal;Skype;Telegram;Whatsapp;Zoom,Discord;Matrix;Signal,Bing AI;ChatGPT,ChatGPT,GitHub Copilot,,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"No, not really","The fact that most question on Stack Overflow get backslashed with ""that's a stupid question"" for a Q&A website is devestating. I'm considering a AI generated answer for basic question that have been proven to be correct and link it to past question instead of harrasing the questioner.",Yes,Favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Documenting code;Committing and reviewing code,Project planning;Writing code,Debugging and getting help;Testing code;Deployment and monitoring;Collaborating with teammates ,Project planning,,Writing code,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
8015,8016,I agree,I code primarily as a hobby,Under 18 years old,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial",,3,,,,,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,,,C;C#;C++;Dart;Elixir;HTML/CSS;Java;JavaScript;Lua;MATLAB;PHP;Python;Swift;Zig,Dart;HTML/CSS;JavaScript;PHP;Python,,,,,Laravel;Node.js,,Flutter;TensorFlow,Flutter,,,Android Studio;Jupyter Notebook/JupyterLab,Visual Studio Code,Android;Windows,,,,Discord;Google Meet;Telegram;Whatsapp;Zoom,Whatsapp,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,Replit Ghostwriter,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Neutral,,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
