,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
2876,2877,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,It's complicated,Fewer than 10 employees,Venture-funded startup,8 to 9 years,Less than a year,,Web developer,Back-end Web developer,,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",2.0,Less than a year ago,Important,Important,Somewhat important,Important,Somewhat important,Important,Important,Very important,Important,Not very important,Very important,Very important,Not very important,Very important,Important,,No,,"I completed a major project, assignment, or contract",I was contacted directly by someone at the company (e.g. internal recruiter),Important,Somewhat important,Important,Not very important,Important,Important,Somewhat important,Important,Important,Important,,,,Very important,Part-time/evening course; Self-taught,Official documentation; Textbook; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Company internal community; Tutoring/mentoring; Friends network; Built-in help,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat satisfied,Somewhat satisfied,Satisfied,Not very satisfied,Somewhat satisfied,Satisfied,Not much influence,Not much influence,Not much influence,Not much influence,Some influence,Not much influence,A lot of influence,Not much influence,A lot of influence,Not much influence,Not much influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2878,2879,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,Management information systems,A few days each month,100 to 499 employees,Venture-funded startup,6 to 7 years,5 to 6 years,,Web developer,Full stack Web developer,,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",4.0,Between 2 and 4 years ago,Somewhat important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Very important,Important,Important,Very important,Important,Somewhat important,Somewhat important,Important,Important,Stock options; Health benefits; Long-term leave; Remote options; Child/elder care,Yes,,,,,,,,,,,,,,,,Spaces,Not very important,Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Built-in help,,,9:00 AM,C#,JavaScript; PHP,,,MySQL,MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS),PHPStorm,Turn on some music,,,,,,,,,,,,Not very satisfied,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Not very satisfied,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,10.0,Desktop; iOS app,At least once each day,,,,Several times,,,,,,,,,,,,Male,A bachelor's degree,South Asian,Agree,Disagree,Somewhat agree,Somewhat agree,,
2913,2914,Student,"Yes, I program as a hobby",Indonesia,No,"Not employed, but looking for work",I never completed any formal education,,,,,1 to 2 years,,,,,,,,,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2926,2927,Student,"Yes, I program as a hobby",Indonesia,I prefer not to say,I prefer not to say,I prefer not to answer,,,,,2 to 3 years,,,,,,,,,,,,,,,,,Some other way,,,,,,,,,,,,,,,,,,I am actively looking for a job,40.0,Not applicable/ never,Not at all important,Somewhat important,Not at all important,Important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Annual bonus; Private office; Child/elder care; Meals; Other,Yes,,,,Very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,U.S. dollars ($),,Spaces,,,,,,6:00 AM,,C#; PHP; VB.NET,,,,SQL Server; MySQL,,Windows Desktop,,Something else,,Copying and pasting files to network shares,Multiple times a day,Somewhat agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Bugs found; Hours worked; On time/in budget; Self-rating,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop,Several times,Several times,Several times,Haven't done at all,Several times,Several times,Several times,Haven't done at all,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,Strongly disagree,Male,I prefer not to answer,I don’t know,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,,
3110,3111,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed part-time,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Never,100 to 499 employees,I don't know,4 to 5 years,,,,,,,,,,,,,,,,,"Enunciating each letter: ""gee eye eff""",Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",3.0,Less than a year ago,Important,Not very important,Important,Important,Important,Somewhat important,Very important,Important,Important,Somewhat important,Important,Very important,Somewhat important,Very important,Important,Annual bonus; Vacation/days off; Health benefits; Professional development sponsorship; Remote options,Yes,LinkedIn,,"A friend, family member, or former colleague told me",Very important,Important,Very important,Not very important,Somewhat important,Important,Not very important,Somewhat important,Not at all important,Important,,,Both,,,,,,10:00 AM,C#; SQL; VB.NET,C#; JavaScript; PHP; R; SQL; VB.NET,,,SQL Server; MySQL,SQL Server; MySQL,Windows Desktop,Android; iOS; Windows Desktop; Linux Desktop; Mac OS; Arduino,Sublime Text; Android Studio; Visual Studio,"Put on some ambient sounds (e.g. whale songs, forest sounds)",,Subversion,Just a few times over the year,Disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Benchmarked product performance; On time/in budget,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",8.0,Desktop,,,,,,,,,Agree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat agree,Disagree,,,,,,,,,
3204,3205,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration","Less than half the time, but at least one day each week",10 to 19 employees,Pre-series A startup,17 to 18 years,11 to 12 years,,Web developer; Mobile developer; Graphics programming; Machine learning specialist; Data scientist; Graphic designer; Desktop applications developer,,,,10.0,10.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,I am not interested in new job opportunities,,Between 1 and 2 years ago,,,,,,,,,,,,,,,,Stock options; Retirement; Annual bonus; Equipment; Child/elder care,Yes,LinkedIn,I was just giving it a regular update,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Important,Not at all important,Very important,Not at all important,Important,Important,Not very important,Very important,Somewhat important,,Greatly underpaid,Tabs,Not at all important,Self-taught; Coding competition,Official documentation; Stack Overflow Q&A,,,7:00 PM,C; C++; C#; Java; JavaScript; SQL,C++; C#; Java; JavaScript; Objective-C; SQL,Node.js; React; Xamarin; .NET Core,Node.js; React; .NET Core,SQL Server,Redis; SQL Server,Android; Microsoft Azure,Android; iOS; Windows Desktop; Arduino; WordPress; Microsoft Azure,Notepad++; Android Studio; Visual Studio; Xcode,Turn on some music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",10.0,Desktop,At least once each day,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Haven't done at all,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Male,High school,East Asian,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,22436.616558223,
3290,3291,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,I don't know,3 to 4 years,2 to 3 years,,Web developer,Full stack Web developer,,,8.0,9.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,Yes,LinkedIn; Other,I saw an employer's advertisement,A general-purpose job board,Very important,Somewhat important,Important,Not very important,Important,Somewhat important,Somewhat important,Not very important,Not very important,Very important,,Somewhat overpaid,Both,,,,,,,C#; JavaScript; PHP; SQL,C#; Java; JavaScript; PHP; SQL,,AngularJS; Node.js; React; Xamarin; .NET Core,,MongoDB; SQL Server; PostgreSQL; Oracle,SharePoint; WordPress,Android; iOS; Mac OS; WordPress; Amazon Web Services (AWS); Microsoft Azure,Notepad++; Sublime Text; Visual Studio; Visual Studio Code,Turn on some music,Waterfall; Agile; Scrum,Git,Multiple times a day,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Disagree,Hours worked; Commit frequency; Customer satisfaction; On time/in budget; Manager's rating; Peers' rating; Self-rating,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9.0,Desktop; Android browser,At least once each week,Several times,Once or twice,Haven't done at all,Haven't done at all,At least once each week,Haven't done at all,At least once each week,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Disagree,Female,"Some college/university study, no bachelor's degree",South Asian,Strongly agree,Agree,Disagree,Somewhat agree,5384.78797397352,
3339,3340,Professional non-developer who sometimes writes code,No,Indonesia,I prefer not to say,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration",Never,I prefer not to answer,I prefer not to answer,5 to 6 years,1 to 2 years,,,,,Other,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",1.0,Between 1 and 2 years ago,Important,Important,Important,Important,Somewhat important,Important,Very important,Very important,Important,Important,Important,Very important,Very important,Important,Important,Retirement; Health benefits; Equipment; Education sponsorship; Child/elder care,Yes,,,,,,,,,,,,,,,,Both,,,,,Take online courses; Part-time/evening courses; Buy books and work through the exercises,10:00 AM,C++; C#; JavaScript; PHP; SQL,Assembly; C; C++; C#; Java; JavaScript; PHP; Python; SQL,AngularJS; Xamarin; .NET Core,AngularJS; Xamarin; .NET Core,SQL Server; MySQL,SQL Server; MySQL; Oracle,Windows Desktop; WordPress,Android; iOS; Windows Phone; Windows Desktop; Linux Desktop; Mac OS; WordPress,Notepad++,Something else,Waterfall,Git,Just a few times over the year,Disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,8.0,Desktop,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Several times,Once or twice,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Male,I prefer not to answer,I prefer not to say,Strongly agree,Strongly disagree,Agree,Somewhat agree,,
3351,3352,Professional developer,"Yes, both",Indonesia,No,Employed full-time,Master's degree,Management information systems,About half the time,20 to 99 employees,Pre-series A startup,6 to 7 years,5 to 6 years,,Web developer,Full stack Web developer,,,6.0,5.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",4.0,Between 1 and 2 years ago,Somewhat important,Important,Important,Important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Annual bonus; Vacation/days off; Health benefits; Expected work hours; Child/elder care,Yes,LinkedIn,A recruiter contacted me,"A friend, family member, or former colleague told me",Somewhat important,Somewhat important,Important,Somewhat important,Important,Important,Not very important,Important,Not very important,Somewhat important,,Neither underpaid nor overpaid,Tabs,,,,,,8:00 AM,JavaScript; PHP; Python; SQL,Go; JavaScript; PHP; SQL,Node.js,Node.js; React,MongoDB; MySQL,MongoDB; MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Atom; Vim; PHPStorm; Visual Studio Code,Turn on some music,Agile; Scrum,Git,Multiple times a day,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Agree,Customer satisfaction; On time/in budget; Peers' rating,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop; iOS browser; Android browser; Other phone browser,Several times,Several times,Once or twice,Haven't done at all,Haven't done at all,Several times,Once or twice,Several times,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Male,A master's degree,South Asian,Strongly agree,Somewhat agree,Disagree,Agree,17500.560915414,
3368,3369,None of these,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,,,,4 to 5 years,,,,,,,1.0,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",10.0,Less than a year ago,Not very important,Somewhat important,Somewhat important,Somewhat important,Very important,Important,Important,Important,Somewhat important,Somewhat important,Not very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Health benefits; Equipment; Private office; Child/elder care; Meals,Yes,LinkedIn,,,Very important,Important,Very important,Not very important,Somewhat important,Not very important,Not very important,Important,Somewhat important,Important,,,,,On-the-job training,,,,,,,,,,,,,,,Agile; Pair; Evidence-based SWE,Git,A few times a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,3394,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",19 to 20 years,9 to 10 years,,Web developer; Mobile developer; Embedded applications/devices developer; DevOps specialist,,,,7.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",1.0,More than 4 years ago,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Annual bonus; Vacation/days off; Health benefits; Remote options; Child/elder care,Yes,LinkedIn,A recruiter contacted me,"A friend, family member, or former colleague told me",Important,Important,Somewhat important,Somewhat important,Important,Not very important,Somewhat important,Somewhat important,Somewhat important,Important,U.S. dollars ($),,Spaces,,,,,,10:00 AM,C; Java; SQL,C; Java; Scala; SQL,Hadoop,Hadoop; Spark,Redis; MySQL; Oracle; SQLite,Redis; MySQL; PostgreSQL; Oracle; SQLite,Android; Linux Desktop,Android; Linux Desktop; Arduino; Raspberry Pi,Vim; Eclipse; NetBeans,Keep the room absolutely quiet,Scrum,Subversion,A few times a week,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",9.0,Desktop; Android browser,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Male,"Some college/university study, no bachelor's degree",,Strongly agree,Somewhat agree,Disagree,Somewhat agree,,
3493,3494,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Venture-funded startup,5 to 6 years,2 to 3 years,,Web developer,Full stack Web developer,,,5.0,6.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",Strongly agree,Agree,Agree,Disagree,Agree,Agree,Somewhat agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Somewhat agree,Strongly agree,I am actively looking for a job,10.0,Between 1 and 2 years ago,Somewhat important,Somewhat important,Not very important,Not very important,Somewhat important,Somewhat important,Important,Important,Important,Important,Somewhat important,Important,Important,Important,Not very important,Stock options; Annual bonus; Vacation/days off; Health benefits; Education sponsorship,No,LinkedIn,I was just giving it a regular update,,Somewhat important,Not very important,Important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,,,Spaces,Not very important,Self-taught; Coding competition; Hackathon,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Friends network,,,2:00 PM,Go; JavaScript; Perl; PHP; SQL,C++; Go; JavaScript; SQL,Firebase,,MongoDB; Redis; PostgreSQL,Redis; MySQL; PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Sublime Text; Vim,Keep the room absolutely quiet,Scrum,Git,Multiple times a day,Disagree,Disagree,Disagree,Somewhat agree,Agree,Disagree,Disagree,Hours worked; Manager's rating; Peers' rating,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,7.0,Desktop,At least once each week,Once or twice,Once or twice,Once or twice,At least once each day,Several times,Several times,Haven't done at all,Agree,Disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,Male,A bachelor's degree,East Asian,Somewhat agree,Agree,Disagree,Agree,,
3498,3499,Professional developer,"Yes, I program as a hobby",Indonesia,"Yes, part-time",Employed full-time,Secondary school,,About half the time,10 to 19 employees,Non-profit/non-governmental organization or private school/university,4 to 5 years,3 to 4 years,,Web developer; Mobile developer,,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545,3546,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Venture-funded startup,5 to 6 years,1 to 2 years,,Web developer; Other,,,,8.0,6.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,I am not interested in new job opportunities,,Not applicable/ never,,,,,,,,,,,,,,,,Annual bonus; Vacation/days off; Private office; Expected work hours; Remote options,Yes,LinkedIn,I received bad news about the future of my company or depart,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Somewhat important,Important,Important,Somewhat important,Important,Not at all important,Important,Somewhat important,Very important,U.S. dollars ($),,Tabs,Important,Part-time/evening course; Self-taught; Open source contributions,Official documentation; Stack Overflow Q&A; Company internal community; Other,,,9:00 AM,C; C++; C#; Go; Java; JavaScript; Perl; PHP; SQL,Go,,React,MongoDB; Redis; SQL Server; MySQL; PostgreSQL; SQLite,MySQL; PostgreSQL,Android; Amazon Web Services (AWS),Amazon Web Services (AWS),Sublime Text,Put on a movie or TV show,Waterfall; Agile; Scrum; Extreme; Pair; Kanban,Git,Multiple times a day,Strongly agree,Agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Bugs found; Release frequency; Customer satisfaction; Benchmarked product performance; On time/in budget; Peers' rating,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop; Android browser,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Haven't done at all,Somewhat agree,Strongly disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Disagree,Male,High school,South Asian,Strongly agree,Agree,Strongly disagree,Agree,,
3780,3781,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Secondary school,,Never,20 to 99 employees,Venture-funded startup,2 to 3 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,Agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Disagree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Online course; On-the-job training,,,,,,,,,,,,,,,Waterfall,Git,A few times a week,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Lines of code; Bugs found; Hours worked; Customer satisfaction; On time/in budget; Revenue performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3844,3845,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Indonesia,No,"Not employed, but looking for work",Bachelor's degree,Computer science or software engineering,,,,8 to 9 years,Less than a year,,,,,Other,0.0,,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Somewhat agree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,No,Other,,,Important,Important,Somewhat important,Not very important,Very important,Important,Not very important,Not very important,Not very important,Very important,,,Tabs,,,,,,8:00 AM,C++; Java; PHP; SQL; VB.NET,Java; SQL; VB.NET,,,MySQL; SQLite,MySQL; SQLite,Android; Windows Desktop; WordPress,Android; Windows Desktop; WordPress,Sublime Text; Android Studio; Visual Studio,Keep the room absolutely quiet,Waterfall,I don't use version control,,Disagree,Agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,Not at all satisfied,Very satisfied,Not very satisfied,Not very satisfied,Not very satisfied,Very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,,Strongly agree,Strongly agree,Somewhat agree,Disagree,Male,"Some college/university study, no bachelor's degree",East Asian; South Asian,Agree,Agree,Disagree,Strongly agree,,
4052,4053,Student,"Yes, both",Indonesia,"Yes, full-time",Employed part-time,Some college/university study without earning a bachelor's degree,A humanities discipline,About half the time,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",5 to 6 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",,Less than a year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Somewhat satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4123,4124,Student,"Yes, both",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,State-owned company,Less than a year,,,,,,,,,,,,,,,,,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",8.0,Less than a year ago,Important,Important,Important,Very important,Important,Somewhat important,Important,Important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Vacation/days off,No,,,,,,,,,,,,,,,,Tabs,,,,,,8:00 AM,Java; JavaScript,,AngularJS; Node.js; Cordova,,MySQL; SQLite,,Android,,Atom; Notepad++; Android Studio,Turn on some music,Agile,Git,Just a few times over the year,Strongly agree,Strongly agree,Somewhat agree,Disagree,Strongly agree,Disagree,Strongly agree,Manager's rating,Satisfied,Satisfied,Satisfied,Satisfied,Not at all satisfied,Not at all satisfied,Some influence,No influence at all,Some influence,Some influence,Some influence,Some influence,Some influence,No influence at all,Not much influence,No influence at all,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop; Android browser,Several times,Several times,Several times,At least once each day,Several times,Once or twice,Several times,Several times,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Male,I prefer not to answer,East Asian,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,
