,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
2489,3531,Yes,No,Indonesia,"Yes, full-time",Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Full-stack developer;Student,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Java;JavaScript;PHP;Swift;HTML;CSS,C++;Clojure;Erlang;Python;Scala,MySQL,Cassandra;MongoDB;Oracle;Amazon DynamoDB;Amazon Redshift;Amazon RDS/Aurora,iOS;Linux,AWS;Raspberry Pi,Angular;React,Django;Node.js;React,Eclipse;Light Table;Sublime Text;Xcode,Linux-based,1,Agile;Scrum,Git;Subversion,Multiple times per day,I'm not sure/I don't know,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Clicked on an online advertisement,,,,,,,,,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The person who came up with the idea,Yes,8,Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure,,,,,,,,,,,,,,,,,,,,
2933,4181,Yes,Yes,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer,3-5 years,0-2 years,Moderately satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,7.0,3.0,10.0,6.0,5.0,4.0,8.0,2.0,9.0,1.0,6.0,11.0,2.0,10.0,1.0,3.0,8.0,5.0,4.0,7.0,9.0,2.0,1.0,4.0,3.0,5.0,2.0,6.0,5.0,4.0,3.0,1.0,7.0,My job status or other personal status changed,,8000000,Monthly,7164.0,IDR,"Google Hangouts/Chat;Jira;Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",,,Agree,Agree,Neither Agree nor Disagree,C;C++;Java;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,C;C++;Clojure;Erlang;Go;Java;JavaScript;Lua;Python;Ruby;Rust;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite;Oracle,Redis;MySQL;PostgreSQL;SQLite;Google BigQuery;Google Cloud Storage;Neo4j;Elasticsearch,Heroku;Linux,Android;Arduino;AWS;Gaming console;Google Cloud Platform/App Engine;Heroku;Linux;Mac OS;Firebase,Angular;Cordova;Spring,Django;React;Spring;TensorFlow;Torch/PyTorch,IntelliJ;PyCharm;Sublime Text;Vim;Visual Studio Code,MacOS,2,Agile;Pair programming;Scrum,Git,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it,Somewhat agree,Strongly agree,Neither agree nor disagree,,1.0,3.0,4.0,2.0,6.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,5279,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Back-end developer,0-2 years,0-2 years,Slightly dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,,,,,,,,,5.0,6.0,1.0,8.0,4.0,9.0,3.0,7.0,10.0,11.0,2.0,2.0,1.0,5.0,4.0,3.0,,,,,,,,My job status or other personal status changed,,9600000,Monthly,8592.0,IDR,"Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp,,One to three months,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,JavaScript;Ruby;HTML;CSS,Go;JavaScript;Python;Ruby;HTML;CSS;Bash/Shell,MongoDB;Redis;PostgreSQL,MongoDB;Redis;MySQL;PostgreSQL;Memcached;Elasticsearch,Linux;Mac OS,Android;AWS;Linux;Mac OS;Firebase,Node.js;React,Node.js;React,Visual Studio Code,MacOS,1,Pair programming;Scrum,Git,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Strongly disagree,Somewhat disagree,Somewhat agree,Clicked on an online advertisement,1.0,2.0,4.0,6.0,5.0,3.0,7.0,Increasing automation of jobs,Increasing automation of jobs,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,9,Daily or almost daily,I'm not sure / I can't remember,,Yes,,7,I'm not sure,Very interested,Extremely interested,Very interested,Very interested,Very interested,Between 6:01 - 7:00 AM,5 - 8 hours,1 - 2 hours,1 - 2 times per week,,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,18 - 24 years old,No,,The survey was too long,Neither easy nor difficult
3729,5354,Yes,Yes,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Desktop or enterprise applications developer,6-8 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,7.0,3.0,9.0,8.0,5.0,6.0,4.0,1.0,10.0,2.0,1.0,5.0,2.0,10.0,11.0,3.0,6.0,7.0,4.0,8.0,9.0,2.0,1.0,5.0,4.0,3.0,1.0,7.0,3.0,6.0,2.0,4.0,5.0,My job status or other personal status changed,,25000000,Monthly,22380.0,IDR,"Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",,Because I find it enjoyable,Agree,Disagree,Agree,C++;Python,C++;JavaScript;Python;Kotlin,,Redis;PostgreSQL;Google BigQuery;Google Cloud Storage,Mac OS,Android;Arduino;Mac OS;Raspberry Pi,,Django;React;TensorFlow,PyCharm;Sublime Text;Vim,MacOS,2,Agile;Scrum,Git,Multiple times per day,No,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,1.0,6.0,2.0,5.0,4.0,3.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",8,Yes,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Between 5:00 - 6:00 AM,5 - 8 hours,30 - 59 minutes,1 - 2 times per week,,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,25 - 34 years old,,,The survey was too long,Somewhat difficult
3808,5458,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Designer;Desktop or enterprise applications developer;Mobile developer,27-29 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphi/Object Pascal,JavaScript;Python;Delphi/Object Pascal,SQLite;Google Cloud Storage,,Android;AWS;Google Cloud Platform/App Engine;iOS;Windows Desktop or Server;Firebase,Android;AWS;Google Cloud Platform/App Engine;iOS;Windows Desktop or Server;Firebase,,Django;Node.js;React,,Windows,1,,I don't use version control,,I'm not sure/I don't know,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Stopped going to a website because of their advertising,6.0,5.0,1.0,2.0,3.0,7.0,4.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,7,Less than once per month or monthly,I'm not sure / I can't remember,,"No, I didn't know that Stack Overflow had a jobs board",,,I'm not sure,A little bit interested,A little bit interested,Not at all interested,Not at all interested,A little bit interested,Between 7:01 - 8:00 AM,9 - 12 hours,3 - 4 hours,Never,Ergonomic keyboard or mouse,1 - 2 times per week,,,,,,,,,
3892,5580,No,Yes,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer;Product manager,9-11 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C#;Go;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,Erlang;Go;Java;JavaScript;PHP;Rust;HTML;CSS,MySQL,SQL Server;PostgreSQL,,,Cordova,.NET Core;Cordova,PHPStorm;Visual Studio;Visual Studio Code,Windows,1,Agile;Extreme programming (XP),Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;I wanted to view a specific advertisement;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads;The website I was visiting has interesting ads,Neither agree nor disagree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,5592,Yes,No,Indonesia,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,6-8 years,6-8 years,Moderately dissatisfied,Slightly dissatisfied,Working as a product manager or project manager,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,2.0,1.0,7.0,5.0,8.0,9.0,3.0,10.0,6.0,4.0,4.0,11.0,8.0,5.0,6.0,9.0,7.0,1.0,10.0,3.0,2.0,2.0,1.0,5.0,4.0,3.0,1.0,2.0,6.0,3.0,4.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3906,5606,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Front-end developer;Full-stack developer,3-5 years,0-2 years,Slightly satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,3.0,5.0,10.0,1.0,2.0,7.0,9.0,4.0,8.0,6.0,2.0,1.0,7.0,10.0,11.0,8.0,4.0,3.0,9.0,6.0,5.0,,,,,,,,,,,,,I saw an employer’s advertisement,,5200000,Monthly,4656.0,IDR,Slack,One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To win prizes or cash awards",Agree,Neither Agree nor Disagree,Disagree,C++;Go;JavaScript;Python;SQL;TypeScript;HTML;CSS,C#;Go;Haskell;JavaScript;Python;Rust;TypeScript,MongoDB;PostgreSQL,PostgreSQL,Android;Arduino;AWS;Heroku;Linux;WordPress;Firebase,AWS;Azure;Linux,Angular;Node.js,Angular;.NET Core;Node.js;React;Xamarin;TensorFlow,Visual Studio;Visual Studio Code,Linux-based,1,,Git,Once a day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,1.0,4.0,3.0,6.0,5.0,2.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,Nobody,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,Yes,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Before 5:00 AM,Over 12 hours,Less than 30 minutes,Never,,1 - 2 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",East Asian,18 - 24 years old,No,,The survey was an appropriate length,Neither easy nor difficult
4129,5929,Yes,Yes,Indonesia,No,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;QA or test developer,9-11 years,6-8 years,Moderately satisfied,Slightly satisfied,Retirement,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8.0,9.0,10.0,6.0,4.0,2.0,1.0,3.0,7.0,5.0,1.0,5.0,7.0,8.0,11.0,2.0,3.0,4.0,6.0,10.0,9.0,2.0,1.0,5.0,4.0,3.0,2.0,1.0,7.0,4.0,6.0,5.0,3.0,My job status or other personal status changed,,7000000,,,IDR,"Slack;Trello;Other chat system (IRC, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",,,Agree,Strongly disagree,Neither Agree nor Disagree,Go;JavaScript;Lua;PHP;Python;Bash/Shell,Go;Lua;PHP;Python;Bash/Shell,MySQL;PostgreSQL;MariaDB;Elasticsearch,MySQL;PostgreSQL;MariaDB;Memcached;Elasticsearch,Linux;Mac OS,Android;Arduino;Google Cloud Platform/App Engine;Linux;Mac OS;Raspberry Pi,Angular;React,,Android Studio;IPython / Jupyter;PHPStorm;Sublime Text;Vim,Linux-based,1,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Lean,Git,A few times per week,Yes,I'm not sure/I can't remember,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),1.0,2.0,3.0,4.0,7.0,6.0,5.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The person who came up with the idea,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",7,Yes,Not at all interested,A little bit interested,Somewhat interested,Very interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,,I don't typically exercise,Male,Straight or heterosexual,Associate degree,,25 - 34 years old,No,,The survey was an appropriate length,Neither easy nor difficult
4478,6427,No,No,Indonesia,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer;System administrator,3-5 years,0-2 years,Moderately satisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,6.0,1.0,7.0,3.0,2.0,9.0,10.0,5.0,8.0,4.0,1.0,5.0,3.0,6.0,8.0,2.0,9.0,10.0,11.0,7.0,4.0,3.0,1.0,5.0,4.0,2.0,1.0,2.0,5.0,3.0,4.0,7.0,6.0,A friend told me about a job opportunity,,2800000,Monthly,2508.0,IDR,"Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague",,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To help me find new job opportunities",Strongly agree,Neither Agree nor Disagree,Neither Agree nor Disagree,C;C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,Java;JavaScript;PHP;Python;SQL;Kotlin;HTML;CSS,MySQL,Redis;MySQL;Google Cloud Storage,Android;Linux;Windows Desktop or Server;Firebase,Android;iOS;Linux;Firebase,Angular;.NET Core;Node.js;React,Node.js;React,Android Studio;Visual Studio Code,Windows,1,Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Scrum,Git,Weekly or a few times per month,Yes,No,,Neither agree nor disagree,Strongly agree,Somewhat agree,Clicked on an online advertisement,2.0,4.0,3.0,5.0,1.0,7.0,6.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes,Extremely interested,Extremely interested,Extremely interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,Standing desk,I don't typically exercise,,,,,,,,,
4701,6738,Yes,Yes,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer,6-8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4807,6888,Yes,No,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Database administrator,3-5 years,3-5 years,Slightly dissatisfied,Extremely dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,,IDR,"Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,Completed an industry certification program (e.g. MCPD),,,,,,,Java;PHP;Ruby,Java;Python;R,Oracle,Cassandra;Redis;Apache Hive,Linux,Linux,,Spark,Android Studio;Visual Studio Code,Windows,2,Agile,Git,Multiple times per day,No,,,,,,Clicked on an online advertisement,,,,,,,,Increasing automation of jobs,Algorithms making important decisions,,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,9,Multiple times per day,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure,,,,,,Before 5:00 AM,5 - 8 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25 - 34 years old,No,,The survey was too long,Neither easy nor difficult
5162,7396,Yes,Yes,Indonesia,No,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,9-11 years,3-5 years,Slightly satisfied,Slightly satisfied,Retirement,I am not interested in new job opportunities,More than 4 years ago,4.0,8.0,7.0,3.0,2.0,10.0,1.0,9.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,My job status or other personal status changed,U.S. dollars ($),20000,Yearly,20000.0,USD,"Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,,To win prizes or cash awards;Because I find it enjoyable,Agree,Agree,Neither Agree nor Disagree,CoffeeScript;Go;JavaScript;Python;HTML;CSS;Bash/Shell,Go;JavaScript;Python,SQLite;Google BigQuery;Google Cloud Storage;Elasticsearch,SQLite;Google BigQuery;Google Cloud Storage;Elasticsearch,Google Cloud Platform/App Engine;Raspberry Pi,Google Cloud Platform/App Engine;Raspberry Pi,Node.js;React;TensorFlow,React;TensorFlow,Atom,MacOS,1,,Git,Multiple times per day,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),7.0,6.0,3.0,1.0,2.0,5.0,4.0,,"Artificial intelligence surpassing human intelligence (""the singularity"")",Nobody,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,Yes,5,Yes,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,I do not have a set schedule,Over 12 hours,1 - 2 hours,Never,,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,18 - 24 years old,No,,The survey was an appropriate length,Neither easy nor difficult
